conversation_id,guest_text,parser_confidence,feat_intent_detected,feat_intent_confidence,feat_intent_evidence_len_norm,feat_value_detected,feat_value_confidence,feat_value_evidence_len_norm,feat_sentiment_detected,feat_sentiment_confidence,feat_sentiment_evidence_len_norm,feat_life_event_detected,feat_life_event_confidence,feat_life_event_evidence_len_norm,feat_competitive_detected,feat_competitive_confidence,feat_competitive_evidence_len_norm,feat_num_detected,feat_mean_confidence,feat_max_confidence,feat_parser_confidence,label_intent,label_value,label_sentiment,label_life_event,label_competitive,record_id,source,cache_key,conversation_turns
mwz_000000,"i need a place to dine in the center thats expensive. Any sort of food would be fine, as long as it is a bit expensive. Could I get the phone number for your recommendation? Sounds good, could I get that phone number? Also, could you recommend me an expensive hotel? Yes. Can you book it for me? i want to book it for 2 people and 2 nights starting from saturday. That is all I need to know. Thanks, good bye.",0.85,1.0,0.9,0.4,1.0,0.8,0.2791666666666667,1.0,0.7,0.07083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4800000000000001,0.9,0.85,1,1,1,0,0,mwz_000000,multiwoz_2.2,b7c40c4f945b8928565262d2f5a2244d4e4fb4062879c9e93615a6a7607165a7,12
mwz_000001,"Guten Tag, I am staying overnight in Cambridge and need a place to sleep. I need free parking and internet. No, but I'd really like to be on the south end of the city. No I don't care about the price. Yes, book it for 4 people and 4 nights starting from tuesday. How about for 3 nights? Great. I am all set then. Have a nice day. Bye.",0.95,1.0,1.0,0.25416666666666665,1.0,1.0,0.18333333333333332,1.0,0.9,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.58,1.0,0.95,1,1,1,0,0,mwz_000001,multiwoz_2.2,27b97ffccd17808127b04d0a4ea1feb37e31599ec4aa3db566a1a35f691ff737,12
mwz_000002,"Hi there! Can you give me some info on Cityroomz? Yes please. I need it for 7 people for 3 nights starting on tuesday. I would like to book it for 3 nights beginning on Tuesday. Yeah, I need a restaurant in the west and with expensive pricing. No, I don't have a preference, but I need the phone number and postcode. No, right now, I just need the infor. Thanks! That is all. thanks",0.85,1.0,0.9,0.24166666666666667,1.0,0.8,0.0875,1.0,0.7,0.029166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4800000000000001,0.9,0.85,1,1,1,0,0,mwz_000002,multiwoz_2.2,c5fead706a31529519d9fe4511dd7c921c355becee7b8ecb35885d0556e5a6ce,14
mwz_000003,"I am looking for a hotel named alyesbray lodge guest house. I would like to book a reservation for it. We will be arriving on Sunday and will stay for 5 nights. There will be 8 guests. Can you actually look up a restaurant for me as well? It's a place called Don Pasquale Pizzeria. Yes, I do. I'll need it booked for the same day, same people, and we'd like to eat at 19:00. Great. One more thing. Can you book a taxi between the two places? I'd like to arrive at the restaurant in time for my reservation. Thank you so much that was all I needed.",0.9,1.0,0.95,0.175,1.0,0.9,0.2375,1.0,0.85,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.54,0.95,0.9,1,1,1,0,0,mwz_000003,multiwoz_2.2,ad2b2403e93421fde123949616e7e53166fe28ef7f4d6acd10fbe633cc19467a,20
mwz_000004,"I am looking for a restaurant. I would like something cheap that has Chinese food. Yes, could you make a reservation for 1 at 20:00 on Saturday? Thank you so much for your help! Thanks, you too. Goodbye.",0.9,1.0,0.9,0.23333333333333334,1.0,0.8,0.15416666666666667,1.0,0.85,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.51,0.9,0.9,1,1,1,0,0,mwz_000004,multiwoz_2.2,0f237a3dc4c36b619e6ab98612ba78844360d46bd47e982582e33bb7df2ccbfb,8
mwz_000005,"Please find me a train from cambridge to stansted airport. Saturday leaving Cambridge anytime after 20:00 please. Can you book me 6 tickets please? I am also looking for The Riverside Brasserie. Yes, I would like to book it and get a reference number. Can you try for Saturday at 13:00? 6 people will be dining. Thanks for everything you have been great! No that is all I needed. Thank you ever so kindly.",0.9,1.0,0.9,0.375,1.0,0.8,0.06666666666666667,1.0,0.85,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.51,0.9,0.9,1,1,1,0,0,mwz_000005,multiwoz_2.2,e0eaa1a277fd507941c8f15db5627f756a0dca552314211a4c56d0eefe893c57,18
mwz_000006,"I'm looking for an expensive restaurant in the centre if you could help me. No, not really. I think I'd like to try something different. Yes, I would like both the phone number and the postcode please. Can I also have the address please? I also want to see the travel times for a train going from Kings Lynn from Cambridge on Saturday. It should leave after 09:15. I got that backwards. Need a train leaving Kings Lynn after 9:15 and arriving in Cambridge sometime on Saturday. Sure. Could you tell me the exact travel time? that is it for today. good day thank you",0.6,0.0,0.1,0.0,0.0,0.1,0.0,1.0,0.7,0.075,0.0,0.1,0.0,0.0,0.1,0.0,0.2,0.21999999999999997,0.7,0.6,0,0,1,0,0,mwz_000006,multiwoz_2.2,859dd721328375721660436fbd60c335dc7dc15dd27bcd3b0f59b2538d4f361d,16
mwz_000007,"I'm looking for a places to go and see during my upcoming trip to Cambridge. I would like to go to the south area please. That's a lot of choices, how about nightclubs? Can you get me a couple of phone numbers for good ones? I'm hoping to catch DJ Squalour from Ibiza! Yes, I would like an expensive hotel with free parking. Okay well now I need to get a taxi to leave the hotel by 17:45 to the attraction. I want to confirm that the booked red Lexus is a taxi, as I previously requested? No that is it. Thank you!",0.85,1.0,0.9,0.20833333333333334,1.0,0.8,0.20833333333333334,1.0,0.7,0.041666666666666664,1.0,0.6,0.10833333333333334,0.0,0.0,0.0,0.8,0.6000000000000001,0.9,0.85,1,1,1,1,0,mwz_000007,multiwoz_2.2,fa1bdc5adac7579d79db0589507ec6f17e57a7330c5bf1570b5b295743c9cdab,16
mwz_000008,"Hi, I'd like to book a train to stansted airport from cambridge. Can you help? From Cambridge, which is why I asked the Cambridge TownInfo centre. On Saturday. Is there a train that will arrive by 15:15? No need to book it. Thanks. But can you help me find a cheap restaurant in the south? The Lucky Star sounds good. That's all I need. Can you also tell me the postcode? Thanks for your help. Good bye.",0.85,1.0,0.9,0.18333333333333332,1.0,0.8,0.05,1.0,0.7,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4800000000000001,0.9,0.85,1,1,1,0,0,mwz_000008,multiwoz_2.2,6424477e969b89e8b5922641ca33304145f531ac203600b48070fe438968b7d4,14
mwz_000009,"Yeah, could you recommend a good gastropub? I would like to book a table at the Backstreet Bistro for 5 people at 16:00 on Thursday. Yes, any suggestions of museums found in the east area of town? Can I please have the phone number and address for that place? Great that's all the information I needed today, thank you!",0.85,1.0,0.9,0.36666666666666664,1.0,0.8,0.225,1.0,0.7,0.24583333333333332,0.0,0.0,0.0,1.0,0.6,0.3458333333333333,0.8,0.6000000000000001,0.9,0.85,1,1,1,0,1,mwz_000009,multiwoz_2.2,5f7be955d93e7f4e61a7dadcb59f3d79218e8bda156dacafba7096e374117200,10
